condition_id,paper_id,scientific_model,served_model_id,temperature,top_p,min_p,repeat,status,attempts,raw_result_path,parse_status,error,latency_seconds
Friston2010__olmo-3-32b-think__T000__R01,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T000__R01.json,recovered,"Missing required top-level field: 'first_author'; Missing required top-level field: 'publication_year'; Missing required top-level field: 'study_type'; Missing required top-level field: 'agent_name'; Missing required top-level field: 'reasoning_log_text'; 'lo_evaluations' has 12 keys, expected 36; 'lo_evaluations' missing canonical factors: ['Absence of Feedback Error', 'Activity Suppression', 'Alpha/Beta Mediated Suppression', 'Ascending Latency Shift', 'Canonical Microcircuit Ubiquity', 'Cross-Modal Ubiquity', 'Cross-Scale Hierarchical Ubiquity', 'Divisive Inhibition (PV)', 'E/I Balance Shift', 'Feedforward AMPA', 'Feedforward Ascending Gamma', 'Feedforward Deviance Detection', 'Feedforward Error Propagation', 'Feedforward NMDA', 'Feedforward Non-local Activation', 'Feedforward Non-local Directed Connectivity', 'Feedforward Non-local Granular Activity (L4)', 'Feedforward Non-local Supragranular Activity (L2/3)', 'Habituation to Sequence', 'Hierarchical Activity Ubiquity', 'Hierarchical CSD Ubiquity', 'Hierarchical Mechanism Invariance', 'Hierarchical Order Stability', 'Hierarchical Presence (V1-PFC)', 'Inhibition (GABA)', 'Interspecies Hierarchical Ubiquity', 'Omission Response', 'Population-Wide Ubiquity', 'Precision Weighting (Gain)', 'Selective Sharpening', 'State-Independent Ubiquity', 'Subcortical Feedforward Relaying', 'Subtractive Inhibition (SST)', 'Synaptic Depression (Adaptation)', 'Temporal Stability of Ubiquity', 'VIP-Mediated Disinhibition']; 'lo_evaluations' has unknown factor keys: ['1', '10', '11', '12', '2', '3', '4', '5', '6', '7', '8', '9']; 'go_evaluations' has 12 keys, expected 36; 'go_evaluations' missing canonical factors: ['Absence of Feedback Error', 'Activity Suppression', 'Alpha/Beta Mediated Suppression', 'Ascending Latency Shift', 'Canonical Microcircuit Ubiquity', 'Cross-Modal Ubiquity', 'Cross-Scale Hierarchical Ubiquity', 'Divisive Inhibition (PV)', 'E/I Balance Shift', 'Feedforward AMPA', 'Feedforward Ascending Gamma', 'Feedforward Deviance Detection', 'Feedforward Error Propagation', 'Feedforward NMDA', 'Feedforward Non-local Activation', 'Feedforward Non-local Directed Connectivity', 'Feedforward Non-local Granular Activity (L4)', 'Feedforward Non-local Supragranular Activity (L2/3)', 'Habituation to Sequence', 'Hierarchical Activity Ubiquity', 'Hierarchical CSD Ubiquity', 'Hierarchical Mechanism Invariance', 'Hierarchical Order Stability', 'Hierarchical Presence (V1-PFC)', 'Inhibition (GABA)', 'Interspecies Hierarchical Ubiquity', 'Omission Response', 'Population-Wide Ubiquity', 'Precision Weighting (Gain)', 'Selective Sharpening', 'State-Independent Ubiquity', 'Subcortical Feedforward Relaying', 'Subtractive Inhibition (SST)', 'Synaptic Depression (Adaptation)', 'Temporal Stability of Ubiquity', 'VIP-Mediated Disinhibition']; 'go_evaluations' has unknown factor keys: ['13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24']",
Friston2010__olmo-3-32b-think__T000__R02,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T000__R02.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T000__R03,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T000__R03.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T035__R01,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T035__R01.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T035__R02,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T035__R02.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T035__R03,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T035__R03.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T070__R01,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T070__R01.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T070__R02,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T070__R02.json,unrecoverable,Failed all rescue parser stages,
Friston2010__olmo-3-32b-think__T070__R03,Friston2010,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Friston2010__olmo-3-32b-think__T070__R03.json,unrecoverable,Failed all rescue parser stages,
Friston2010__gemma-4-31b-it__T000__R01,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,1,RECOVERED,3,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T000__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Friston2010__gemma-4-31b-it__T000__R02,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,2,COMPLETE,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T000__R02.json,valid,,
Friston2010__gemma-4-31b-it__T000__R03,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,3,COMPLETE,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T000__R03.json,valid,,
Friston2010__gemma-4-31b-it__T035__R01,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,1,COMPLETE,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T035__R01.json,valid,,
Friston2010__gemma-4-31b-it__T035__R02,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,2,COMPLETE,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T035__R02.json,valid,,
Friston2010__gemma-4-31b-it__T035__R03,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,3,COMPLETE,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T035__R03.json,valid,,
Friston2010__gemma-4-31b-it__T070__R01,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T070__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Friston2010__gemma-4-31b-it__T070__R02,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,2,RECOVERED,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T070__R02.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Friston2010__gemma-4-31b-it__T070__R03,Friston2010,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,3,RECOVERED,1,content/202608_temp/raw/Friston2010__gemma-4-31b-it__T070__R03.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Friston2010__phi-4-reasoning-plus__T000__R01,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,1,COMPLETE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T000__R01.json,valid,,
Friston2010__phi-4-reasoning-plus__T000__R02,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,2,COMPLETE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T000__R02.json,valid,,
Friston2010__phi-4-reasoning-plus__T000__R03,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,3,COMPLETE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T000__R03.json,valid,,
Friston2010__phi-4-reasoning-plus__T035__R01,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T035__R01.json,recovered,,
Friston2010__phi-4-reasoning-plus__T035__R02,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T035__R02.json,unrecoverable,Failed all rescue parser stages,
Friston2010__phi-4-reasoning-plus__T035__R03,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T035__R03.json,unrecoverable,Failed all rescue parser stages,
Friston2010__phi-4-reasoning-plus__T070__R01,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T070__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Absence of Feedback Error', 'Activity Suppression', 'Alpha/Beta Mediated Suppression', 'Ascending Latency Shift', 'Canonical Microcircuit Ubiquity', 'Cross-Modal Ubiquity', 'Cross-Scale Hierarchical Ubiquity', 'Divisive Inhibition (PV)', 'E/I Balance Shift', 'Feedforward AMPA', 'Feedforward Ascending Gamma', 'Feedforward Deviance Detection', 'Feedforward Error Propagation', 'Feedforward NMDA', 'Feedforward Non-local Activation', 'Feedforward Non-local Directed Connectivity', 'Feedforward Non-local Granular Activity (L4)', 'Feedforward Non-local Supragranular Activity (L2/3)', 'Habituation to Sequence', 'Hierarchical Activity Ubiquity', 'Hierarchical CSD Ubiquity', 'Hierarchical Mechanism Invariance', 'Hierarchical Order Stability', 'Hierarchical Presence (V1-PFC)', 'Inhibition (GABA)', 'Interspecies Hierarchical Ubiquity', 'Omission Response', 'Population-Wide Ubiquity', 'Precision Weighting (Gain)', 'Selective Sharpening', 'State-Independent Ubiquity', 'Subcortical Feedforward Relaying', 'Subtractive Inhibition (SST)', 'Synaptic Depression (Adaptation)', 'Temporal Stability of Ubiquity', 'VIP-Mediated Disinhibition']; 'lo_evaluations' has unknown factor keys: ['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '4', '5', '6', '7', '8', '9']; 'go_evaluations' missing canonical factors: ['Absence of Feedback Error', 'Activity Suppression', 'Alpha/Beta Mediated Suppression', 'Ascending Latency Shift', 'Canonical Microcircuit Ubiquity', 'Cross-Modal Ubiquity', 'Cross-Scale Hierarchical Ubiquity', 'Divisive Inhibition (PV)', 'E/I Balance Shift', 'Feedforward AMPA', 'Feedforward Ascending Gamma', 'Feedforward Deviance Detection', 'Feedforward Error Propagation', 'Feedforward NMDA', 'Feedforward Non-local Activation', 'Feedforward Non-local Directed Connectivity', 'Feedforward Non-local Granular Activity (L4)', 'Feedforward Non-local Supragranular Activity (L2/3)', 'Habituation to Sequence', 'Hierarchical Activity Ubiquity', 'Hierarchical CSD Ubiquity', 'Hierarchical Mechanism Invariance', 'Hierarchical Order Stability', 'Hierarchical Presence (V1-PFC)', 'Inhibition (GABA)', 'Interspecies Hierarchical Ubiquity', 'Omission Response', 'Population-Wide Ubiquity', 'Precision Weighting (Gain)', 'Selective Sharpening', 'State-Independent Ubiquity', 'Subcortical Feedforward Relaying', 'Subtractive Inhibition (SST)', 'Synaptic Depression (Adaptation)', 'Temporal Stability of Ubiquity', 'VIP-Mediated Disinhibition']; 'go_evaluations' has unknown factor keys: ['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '4', '5', '6', '7', '8', '9']",
Friston2010__phi-4-reasoning-plus__T070__R02,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,2,COMPLETE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T070__R02.json,valid,,
Friston2010__phi-4-reasoning-plus__T070__R03,Friston2010,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Friston2010__phi-4-reasoning-plus__T070__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T000__R01,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,1,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T000__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T000__R02,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T000__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T000__R03,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T000__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T035__R01,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T035__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T035__R02,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T035__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T035__R03,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T035__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T070__R01,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T070__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T070__R02,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T070__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__olmo-3-32b-think__T070__R03,Furutachi2024,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Furutachi2024__olmo-3-32b-think__T070__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__gemma-4-31b-it__T000__R01,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,1,RECOVERED,2,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T000__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T000__R02,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,2,RECOVERED,2,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T000__R02.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T000__R03,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,3,RECOVERED,2,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T000__R03.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T035__R01,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T035__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T035__R02,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,2,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T035__R02.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T035__R03,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.35,0.90,0.10,3,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T035__R03.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T070__R01,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,1,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T070__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T070__R02,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,2,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T070__R02.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Inhibition (GABA)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['GABA', 'PV', 'SST']",
Furutachi2024__gemma-4-31b-it__T070__R03,Furutachi2024,gemma-4-31b-it,gemma-4-31b-it,0.70,0.90,0.10,3,RECOVERED,1,content/202608_temp/raw/Furutachi2024__gemma-4-31b-it__T070__R03.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['PV', 'SST']",
Furutachi2024__phi-4-reasoning-plus__T000__R01,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,1,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T000__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T000__R02,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T000__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T000__R03,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.00,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T000__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T035__R01,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,1,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T035__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T035__R02,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T035__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T035__R03,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.35,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T035__R03.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T070__R01,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,1,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T070__R01.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T070__R02,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T070__R02.json,unrecoverable,Failed all rescue parser stages,
Furutachi2024__phi-4-reasoning-plus__T070__R03,Furutachi2024,phi-4-reasoning-plus,phi-4-reasoning-plus,0.70,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Furutachi2024__phi-4-reasoning-plus__T070__R03.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T000__R01,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,1,UNRECOVERABLE,1,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T000__R01.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T000__R02,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,2,UNRECOVERABLE,1,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T000__R02.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T000__R03,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.00,0.90,0.10,3,UNRECOVERABLE,1,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T000__R03.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T035__R01,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T035__R01.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T035__R02,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T035__R02.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T035__R03,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.35,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T035__R03.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T070__R01,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,1,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T070__R01.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T070__R02,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,2,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T070__R02.json,unrecoverable,Failed all rescue parser stages,
Garret2020__olmo-3-32b-think__T070__R03,Garret2020,olmo-3-32b-think,olmo-3-32b-think,0.70,0.90,0.10,3,UNRECOVERABLE,3,content/202608_temp/raw/Garret2020__olmo-3-32b-think__T070__R03.json,unrecoverable,Failed all rescue parser stages,
Garret2020__gemma-4-31b-it__T000__R01,Garret2020,gemma-4-31b-it,gemma-4-31b-it,0.00,0.90,0.10,1,RECOVERED,2,content/202608_temp/raw/Garret2020__gemma-4-31b-it__T000__R01.json,recovered,"'lo_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'lo_evaluations' has unknown factor keys: ['PV', 'SST']; 'go_evaluations' missing canonical factors: ['Divisive Inhibition (PV)', 'Subtractive Inhibition (SST)']; 'go_evaluations' has unknown factor keys: ['PV', 'SST']",
